Name,Value,Value Type,Type,Discount Class,Minimum Purchase Requirements,Combines with Order Discounts,Combines with Product Discounts,Combines with Shipping Discounts,Customer Selection,Times Used In Total,Applies Once Per Customer,Usage Limit Per Code,Status,Start,End
NGWEP7GVEGFP,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-27 14:00:34 +0900,
June2023_WBACK_10OFF150 (2024-05-27 02:01),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-27 11:01:30 +0900,2024-06-04 11:01:30 +0900
June2023_WBACK_20OFF300 (2024-05-26 11:30),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-26 20:30:36 +0900,2024-06-03 20:30:36 +0900
June2023_WBACK_3OFF30 (2024-05-26 09:01),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-26 18:01:13 +0900,2024-06-03 18:01:13 +0900
VXCKEZKYFCSN,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-26 17:42:37 +0900,
1RXG0BB3BK65,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-26 17:21:33 +0900,
June2023_WBACK_10OFF150 (2024-05-26 02:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-26 11:00:40 +0900,2024-06-03 11:00:40 +0900
June2023_TKS_5OFF50 (2024-05-25 20:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-26 05:00:29 +0900,2024-06-03 05:00:29 +0900
June2023_TKS_3OFF30 (2024-05-25 19:06),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-26 04:06:20 +0900,2024-06-03 04:06:20 +0900
6_2023_3OFF50 (2024-05-25 13:20),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-25 22:20:36 +0900,2024-05-29 22:20:36 +0900
June2023_WBACK_20OFF300 (2024-05-25 11:02),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-25 20:02:12 +0900,2024-06-02 20:02:12 +0900
June2023_WBACK_3OFF30 (2024-05-25 07:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-25 16:00:33 +0900,2024-06-02 16:00:33 +0900
6_2023_5OFF100 (2024-05-25 01:05),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Active,2024-05-25 10:05:44 +0900,2024-05-29 10:05:44 +0900
June2023_WBACK_10OFF150 (2024-05-25 01:01),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-25 10:01:21 +0900,2024-06-02 10:01:21 +0900
June2023_TKS_5OFF50 (2024-05-24 20:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-25 05:00:20 +0900,2024-06-02 05:00:20 +0900
0524_wishlist_5percents_off (2024-05-24 15:48),-5,percentage,Amount Off,order,,,,,all,0,1,1,Active,2024-05-25 00:48:05 +0900,2024-05-29 00:48:05 +0900
6_2023_3OFF50 (2024-05-24 06:47),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-24 15:47:41 +0900,2024-05-28 15:47:41 +0900
66JQ19SDJAMY,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-24 15:36:06 +0900,
061RA60VMSNE,-3,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-24 15:33:27 +0900,
June2023_WBACK_20OFF300 (2024-05-24 04:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-24 13:00:55 +0900,2024-06-01 13:00:55 +0900
June2023_WBACK_3OFF30 (2024-05-24 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-24 13:00:49 +0900,2024-06-01 13:00:49 +0900
June2023_TKS_3OFF30 (2024-05-24 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-24 13:00:23 +0900,2024-06-01 13:00:23 +0900
June2023_WBACK_10OFF150 (2024-05-24 01:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-24 10:00:40 +0900,2024-06-01 10:00:40 +0900
6_2023_5OFF100 (2024-05-23 22:35),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Active,2024-05-24 07:35:33 +0900,2024-05-28 07:35:33 +0900
June2023_TKS_5OFF50 (2024-05-23 11:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-23 20:00:26 +0900,2024-05-31 20:00:26 +0900
JFTHANKYOU (2024-05-23 09:29),-5,percentage,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-23 18:29:48 +0900,2024-05-31 18:29:48 +0900
8W8RXH1TVZHQ,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-23 17:53:31 +0900,
67HMSE9EKRRK,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-23 17:32:24 +0900,
6RY83TB9N736,-8,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-23 16:15:31 +0900,
June2023_WBACK_20OFF300 (2024-05-23 04:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-23 13:00:50 +0900,2024-05-31 13:00:50 +0900
June2023_WBACK_3OFF30 (2024-05-23 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-23 13:00:40 +0900,2024-05-31 13:00:40 +0900
June2023_TKS_3OFF30 (2024-05-23 02:53),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-23 11:53:57 +0900,2024-05-31 11:53:57 +0900
0524_wishlist_5percents_off (2024-05-23 02:53),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-23 11:53:56 +0900,2024-05-27 11:53:56 +0900
6_2023_3OFF50 (2024-05-23 01:32),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-23 10:32:30 +0900,2024-05-27 10:32:30 +0900
June2023_WBACK_10OFF150 (2024-05-22 20:00),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-23 05:00:41 +0900,2024-05-31 05:00:41 +0900
6_2023_5OFF100 (2024-05-22 16:54),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-23 01:54:34 +0900,2024-05-27 01:54:34 +0900
6_2023_10OFF300 (2024-05-22 11:55),-10,fixed_amount,Amount Off,order,300,,,,all,1,1,1,Expired,2024-05-22 20:55:31 +0900,2024-05-26 20:55:31 +0900
J85XB8PBGKNH,-10,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-22 16:10:11 +0900,
GW5JEYTETASK,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-22 15:51:15 +0900,
13ANWE6YXBSS,-50,fixed_amount,Amount Off,order,200,,,,all,0,1,1,Active,2024-05-22 13:15:30 +0900,
June2023_WBACK_20OFF300 (2024-05-22 04:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-22 13:00:43 +0900,2024-05-30 13:00:43 +0900
June2023_WBACK_3OFF30 (2024-05-22 04:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-22 13:00:33 +0900,2024-05-30 13:00:33 +0900
June2023_TKS_5OFF50 (2024-05-22 04:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-22 13:00:19 +0900,2024-05-30 13:00:19 +0900
June2023_TKS_3OFF30 (2024-05-22 02:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-22 11:00:17 +0900,2024-05-30 11:00:17 +0900
0524_wishlist_5percents_off (2024-05-22 00:44),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-22 09:44:53 +0900,2024-05-26 09:44:53 +0900
6_2023_3OFF50 (2024-05-21 20:31),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-22 05:31:37 +0900,2024-05-26 05:31:37 +0900
June2023_WBACK_10OFF150 (2024-05-21 11:30),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-21 20:30:39 +0900,2024-05-29 20:30:39 +0900
8MPENY0MRJDB,-7.43,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-21 18:19:51 +0900,
NMZ5HS4X7K6X,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-21 15:36:19 +0900,
P30TKMWFFQ4N,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-21 15:24:48 +0900,
June2023_WBACK_20OFF300 (2024-05-21 04:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-21 13:00:37 +0900,2024-05-29 13:00:37 +0900
June2023_TKS_5OFF50 (2024-05-21 04:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-21 13:00:18 +0900,2024-05-29 13:00:18 +0900
6_2023_10OFF300 (2024-05-21 02:57),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-21 11:57:55 +0900,2024-05-25 11:57:55 +0900
June2023_WBACK_3OFF30 (2024-05-21 02:57),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-21 11:57:55 +0900,2024-05-29 11:57:55 +0900
6_2023_5OFF100 (2024-05-21 02:57),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-21 11:57:55 +0900,2024-05-25 11:57:55 +0900
JFTHANKYOU (2024-05-21 02:47),-5,percentage,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-21 11:47:27 +0900,2024-05-29 11:47:27 +0900
June2023_TKS_3OFF30 (2024-05-21 02:00),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-21 11:00:17 +0900,2024-05-29 11:00:17 +0900
0524_wishlist_5percents_off (2024-05-20 23:06),-5,percentage,Amount Off,order,,,,,all,1,1,1,Expired,2024-05-21 08:06:59 +0900,2024-05-25 08:06:59 +0900
6_2023_3OFF50 (2024-05-20 19:04),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-21 04:04:31 +0900,2024-05-25 04:04:31 +0900
June2023_WBACK_10OFF150 (2024-05-20 11:01),-10,fixed_amount,Amount Off,order,150,,,,all,0,1,1,Active,2024-05-20 20:01:09 +0900,2024-05-28 20:01:09 +0900
D9TCMAQ07RFA,-7,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-20 18:18:31 +0900,
JAGNZV5RYGHJ,-5,fixed_amount,Amount Off,order,,,,,all,0,1,1,Active,2024-05-20 13:46:59 +0900,
June2023_WBACK_20OFF300 (2024-05-20 04:00),-20,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Active,2024-05-20 13:00:36 +0900,2024-05-28 13:00:36 +0900
June2023_TKS_5OFF50 (2024-05-20 04:00),-5,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Active,2024-05-20 13:00:17 +0900,2024-05-28 13:00:17 +0900
June2023_WBACK_3OFF30 (2024-05-20 02:53),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-20 11:53:48 +0900,2024-05-28 11:53:48 +0900
June2023_TKS_3OFF30 (2024-05-20 01:05),-3,fixed_amount,Amount Off,order,30,,,,all,0,1,1,Active,2024-05-20 10:05:49 +0900,2024-05-28 10:05:49 +0900
6_2023_5OFF100 (2024-05-19 23:44),-5,fixed_amount,Amount Off,order,100,,,,all,0,1,1,Expired,2024-05-20 08:44:27 +0900,2024-05-24 08:44:27 +0900
0524_wishlist_5percents_off (2024-05-19 20:09),-5,percentage,Amount Off,order,,,,,all,0,1,1,Expired,2024-05-20 05:09:22 +0900,2024-05-24 05:09:22 +0900
6_2023_3OFF50 (2024-05-19 18:49),-3,fixed_amount,Amount Off,order,50,,,,all,0,1,1,Expired,2024-05-20 03:49:31 +0900,2024-05-24 03:49:31 +0900
6_2023_10OFF300 (2024-05-19 14:32),-10,fixed_amount,Amount Off,order,300,,,,all,0,1,1,Expired,2024-05-19 23:32:13 +0900,2024-05-23 23:32:13 +0900
b69e574d3fe1,-5,fixed_amount,Amount Off,order,20,,,,all,0,,1,Active,2024-05-19 21:29:51 +0900,
